Province,Year,URL,Status
Isfahan,1361,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1361/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1376,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1376/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Isfahan,1363,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1363/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1382,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1382/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Isfahan,1364,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1364/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1383,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1383/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Isfahan,1385,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1385/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Isfahan,1366,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1366/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1367,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1367/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1387,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1387/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
